event_date,event_location,fighter_1,fighter_2,result,method_main,method_detail,round,time,fighter_1_kd,fighter_1_str,fighter_1_td,fighter_1_sub,fighter_2_kd,fighter_2_str,fighter_2_td,fighter_2_sub,weight_class,fighter_1_record,fighter_1_height,fighter_1_weight,fighter_1_reach,fighter_1_stance,fighter_1_dob,fighter_1_slpm,fighter_1_str_acc,fighter_1_sapm,fighter_1_str_def,fighter_1_td_avg,fighter_1_td_acc,fighter_1_td_def,fighter_1_sub_avg,fighter_2_record,fighter_2_height,fighter_2_weight,fighter_2_reach,fighter_2_stance,fighter_2_dob,fighter_2_slpm,fighter_2_str_acc,fighter_2_sapm,fighter_2_str_def,fighter_2_td_avg,fighter_2_td_acc,fighter_2_td_def,fighter_2_sub_avg,fighter_1_born,fighter_1_gym,fighter_2_born,fighter_2_gym,fighter_1_ufcwins,fighter_1_ufcloss,fighter_2_ufcwins,fighter_2_ufcloss,fighter_1_active,fighter_2_active,fighter_1_wins,fighter_2_wins,fighter_1_age_at_fight,fighter_1_age_gap,fighter_1_current_age,fighter_1_draws,fighter_1_ig,fighter_1_losses,fighter_1_open_odds,fighter_1_reachheightadv,fighter_2_age_at_fight,fighter_2_current_age,fighter_2_draws,fighter_2_ig,fighter_2_losses,fighter_2_open_odds
1/8/1999,"New Orleans, Louisiana, USA",Bas Rutten,Tsuyoshi Kohsaka,win,KO/TKO,Punches,2,2:15,1,31,0,0,0,23,3,0,Heavyweight,,"6' 1""",205 lbs.,--,Orthodox,2/24/1965,5.59,61%,2.06,79%,0,0%,0%,0,,"5' 11""",225 lbs.,--,Orthodox,3/6/1970,1.88,38%,4.41,54%,1.32,20%,33%,0.4,#N/A,#N/A,#N/A,#N/A,0,0,2,0,FALSE,FALSE,28,27,33,5,60,1,#N/A,4,,,28,55,2,#N/A,19,
1/8/1999,"New Orleans, Louisiana, USA",Pat Miletich,Jorge Patino,win,U-DEC,,3,3:00,0,27,3,0,0,19,1,1,Lightweight,,"5' 10""",170 lbs.,--,Orthodox,3/9/1968,1.79,45%,1.66,63%,1.96,100%,54%,1,,"5' 8""",170 lbs.,--,Orthodox,8/5/1973,1.33,30%,3.14,53%,0.54,25%,50%,0,#N/A,#N/A,#N/A,#N/A,3,0,0,0,FALSE,FALSE,29,38,30,5,57,2,#N/A,7,,,25,51,2,#N/A,19,
1/8/1999,"New Orleans, Louisiana, USA",Pedro Rizzo,Mark Coleman,win,S-DEC,,2,3:00,0,16,0,0,0,25,2,0,Heavyweight,,"6' 1""",241 lbs.,--,Orthodox,5/3/1974,1.93,34%,3.02,50%,0.26,28%,78%,0,,"6' 1""",205 lbs.,"75""",Orthodox,12/20/1964,1.88,52%,2.62,40%,3.89,40%,50%,0.8,#N/A,#N/A,#N/A,#N/A,1,0,6,2,FALSE,FALSE,20,16,24,-10,51,0,#N/A,11,,,34,60,0,#N/A,10,
1/8/1999,"New Orleans, Louisiana, USA",Tito Ortiz,Jerry Bohlander,win,KO/TKO,,2,2:31,0,37,6,0,0,9,0,0,Middleweight,,"6' 3""",205 lbs.,"74""",Orthodox,1/23/1975,2.59,46%,2.88,60%,2.47,35%,54%,0.6,,"5' 11""",199 lbs.,--,Orthodox,2/12/1974,0,0%,0,0%,0,0%,0%,0,#N/A,#N/A,#N/A,#N/A,1,1,5,1,FALSE,FALSE,19,11,23,-1,50,1,#N/A,12,,,24,51,0,#N/A,4,
1/8/1999,"New Orleans, Louisiana, USA",Mikey Burnett,Townsend Saunders,win,U-DEC,,2,3:00,1,42,0,1,0,34,0,0,Lightweight,,"5' 6""",170 lbs.,--,Orthodox,4/12/1974,0,0%,0,0%,0,0%,0%,0,,"5' 5""",170 lbs.,--,Orthodox,--,0,0%,0,0%,0,0%,0%,0,#N/A,#N/A,#N/A,#N/A,1,1,0,1,FALSE,FALSE,5,0,24,,51,0,#N/A,2,,,Unknown,Unknown,0,#N/A,2,
1/8/1999,"New Orleans, Louisiana, USA",Evan Tanner,Darrel Gholar,win,SUB,Rear Naked Choke,1,7:57,0,24,1,4,0,4,1,0,Middleweight,,"6' 0""",185 lbs.,"74""",Orthodox,2/11/1971,3.05,59%,2.64,56%,2.55,43%,25%,1.3,,"5' 8""",194 lbs.,--,Orthodox,--,0,0%,0,0%,0,0%,0%,0,#N/A,#N/A,#N/A,#N/A,0,0,0,0,FALSE,FALSE,32,5,27,,54,0,#N/A,8,,,Unknown,Unknown,0,#N/A,6,
1/8/1999,"New Orleans, Louisiana, USA",Laverne Clark,Frank Caracci,win,KO/TKO,Punches,1,6:52,0,15,2,0,0,0,0,1,Lightweight,,"5' 11""",170 lbs.,--,Orthodox,12/2/1973,0,0%,0,0%,0,0%,0%,0,,--,--,--,,--,0,0%,0,0%,0,0%,0%,0,#N/A,#N/A,#N/A,#N/A,1,0,0,0,FALSE,FALSE,27,2,25,,51,1,#N/A,21,,,Unknown,Unknown,0,#N/A,3,
10/16/1998,"Sao Paulo, Brazil",Frank Shamrock,John Lober,win,SUB,Neck Crank,1,7:40,2,23,0,4,0,4,3,1,Middleweight,,"5' 10""",185 lbs.,--,Orthodox,12/8/1972,4.75,53%,4.66,57%,0.35,50%,37%,1.1,,"5' 11""",199 lbs.,--,Orthodox,2/26/1968,0,0%,0,0%,0,0%,0%,0,#N/A,#N/A,#N/A,#N/A,3,0,0,0,FALSE,FALSE,23,5,25,-5,52,2,#N/A,10,,,30,57,4,#N/A,9,
10/16/1998,"Sao Paulo, Brazil",Vitor Belfort,Wanderlei Silva,win,KO/TKO,Punches,1,0:44,1,7,0,0,0,1,0,0,Middleweight,,"6' 0""",185 lbs.,"74""",Southpaw,4/1/1977,1.59,46%,2.83,50%,1.02,60%,53%,0.6,,"5' 11""",205 lbs.,"74""",Orthodox,7/3/1976,2.79,40%,2.19,60%,0.97,53%,62%,0.6,#N/A,#N/A,#N/A,#N/A,4,1,0,0,FALSE,FALSE,26,35,21,-1,48,0,1976011,14,,,22,48,1,#N/A,13,
10/16/1998,"Sao Paulo, Brazil",Pedro Rizzo,David Abbott,win,KO/TKO,Punch,1,8:07,2,24,0,0,0,16,1,0,Heavyweight,,"6' 1""",241 lbs.,--,Orthodox,5/3/1974,1.93,34%,3.02,50%,0.26,28%,78%,0,,"6' 0""",265 lbs.,--,Switch,4/26/1965,1.35,30%,3.55,38%,1.07,33%,66%,0,#N/A,#N/A,#N/A,#N/A,0,0,8,6,FALSE,FALSE,20,10,24,-9,51,0,#N/A,11,,,33,60,0,#N/A,15,
